class_id,class_name,difficulty,bin,t_centre,U_ens,U_route,U_attn,U_attn_block0,U_attn_block14,U_attn_block27
145,king penguin,medium,12,625,0.16511918976902962,,4.327945503805364,5.443533261617024,4.569754362106323,4.790158987045288
145,king penguin,medium,13,675,0.11652490324698962,,4.447878126587187,5.457671495584341,4.719956324650691,5.084862672365629
145,king penguin,medium,14,725,0.07492004769543807,,4.591261115812119,5.4707478284835815,4.8783040046691895,5.324925541877747
145,king penguin,medium,15,775,0.039594340353057936,,4.765034652018285,5.481684904832107,5.031125362102802,5.446973470541147
145,king penguin,medium,16,825,0.025323643814772367,,4.943180204147384,5.488277196884155,5.157669425010681,5.493715802828471
145,king penguin,medium,17,875,0.019416815386368677,,5.087445170014769,5.49169397354126,5.250054102677566,5.506328509404109
145,king penguin,medium,18,925,0.021496611647307873,,5.190883996231215,5.492883761723836,5.321877519289653,5.509795864423116
145,king penguin,medium,19,975,0.044735098974062845,,5.25980041053269,5.4934055255009575,5.371886803553655,5.509682838733379
850,teddy bear,medium,0,25,0.5570739874472985,,3.5863108680798463,5.4293628472548265,3.7403121177966776,3.5521471867194543
850,teddy bear,medium,1,75,0.5301142086585363,,3.6343137245802652,5.39222510655721,3.786803444226583,3.71044651667277
850,teddy bear,medium,2,125,0.4935732827736781,,3.6837854706324062,5.374031103574312,3.841847401398879,3.7883337277632494
850,teddy bear,medium,3,175,0.451034814119339,,3.7412137467236746,5.363849679629008,3.905468463897705,3.858070453008016
850,teddy bear,medium,4,225,0.408734353689047,,3.7989653037799584,5.361526085780217,3.9689821096567006,3.922864345403818
850,teddy bear,medium,5,275,0.36782684177160263,,3.8587783081900504,5.362486084302266,4.03643536567688,3.9807731906572976
850,teddy bear,medium,6,325,0.3291024611546443,,3.917976703945098,5.366884635044978,4.100743770599365,4.04280658868643
850,teddy bear,medium,7,375,0.2935370331009229,,3.9852251704959643,5.374458352724711,4.172961513201396,4.109272599220276
850,teddy bear,medium,8,425,0.2571723541388145,,4.059378981262773,5.3822479248046875,4.255994173196646,4.186223066770113
850,teddy bear,medium,9,475,0.2207729034125805,,4.136201510117168,5.3918856382369995,4.349928816159566,4.2719887892405195
850,teddy bear,medium,10,525,0.19268382961551347,,4.1984728737956,5.4018086194992065,4.430041114489238,4.372060775756836
850,teddy bear,medium,11,575,0.1702750428364827,,4.269191085309772,5.416180317218487,4.511758474203257,4.523446596585787
850,teddy bear,medium,12,625,0.13900740693012872,,4.349533526670365,5.433623194694519,4.595967094103496,4.751877625783284
850,teddy bear,medium,13,675,0.10152914375066757,,4.450654147090493,5.4500496204082785,4.7002578515272875,5.043423652648926
850,teddy bear,medium,14,725,0.07311966021855672,,4.575865830339136,5.4648590087890625,4.8293304443359375,5.285997708638509
850,teddy bear,medium,15,775,0.03962667042819353,,4.72925903574451,5.478670340317946,4.958515240595891,5.425682874826284
850,teddy bear,medium,16,825,0.027044896346827347,,4.894663373629252,5.4874104261398315,5.074674526850383,5.484781225522359
850,teddy bear,medium,17,875,0.020573464293892566,,5.046822492892925,5.493053913116455,5.1876737888042745,5.505965856405405
850,teddy bear,medium,18,925,0.026072758249938488,,5.162345293022337,5.494792779286702,5.2869348128636675,5.5127726793289185
850,teddy bear,medium,19,975,0.04990163502784876,,5.242085180439792,5.496407875647912,5.356838446397048,5.5147702143742485
817,sports car,medium,0,25,0.6702612684323237,,3.4984118565098266,5.455758644984319,3.6118430541111874,3.467789594943707
817,sports car,medium,1,75,0.6469989667336146,,3.544109177731332,5.425249894460042,3.655146141846975,3.650846302509308
817,sports car,medium,2,125,0.616954138645759,,3.5862315762173997,5.411165897662823,3.708712962957529,3.73042185489948
817,sports car,medium,3,175,0.5738396843274435,,3.629651471972465,5.403209408124288,3.7610472639401755,3.79703954855601
817,sports car,medium,4,225,0.5292827532841609,,3.6720815219066956,5.400559278634878,3.814484797991239,3.855013755651621
817,sports car,medium,5,275,0.4859195575118065,,3.7161263575156522,5.40081520875295,3.8680419325828552,3.909571965535482
817,sports car,medium,6,325,0.44089309298075163,,3.767615446350076,5.40368234194242,3.9308245182037354,3.9707127534426174
817,sports car,medium,7,375,0.39589400589466095,,3.8222380259207323,5.4075954357783,3.995154062906901,4.035291234652202
817,sports car,medium,8,425,0.3462653343494122,,3.891076456059466,5.413531413445106,4.075434317955604,4.115644454956055
817,sports car,medium,9,475,0.30561406910419464,,3.9557666519568087,5.421383659044902,4.141141812006633,4.200474460919698
817,sports car,medium,10,525,0.26284875099857646,,4.030611850321293,5.430257797241211,4.226511557896932,4.314662019411723
817,sports car,medium,11,575,0.21910227835178375,,4.140034579313718,5.440763656909649,4.368215487553523,4.497587350698618
817,sports car,medium,12,625,0.1932010936240355,,4.243072916709241,5.454829454421997,4.497142910957336,4.745791832605998
817,sports car,medium,13,675,0.15174135049948326,,4.36715306030525,5.468100401071402,4.633267439328707,5.04953960271982
817,sports car,medium,14,725,0.0880493229875962,,4.510699811435882,5.481856028238933,4.7742018699646,5.292006770769755
817,sports car,medium,15,775,0.04953680817897503,,4.6799266037050185,5.492505110227144,4.90896672468919,5.427527831150935
817,sports car,medium,16,825,0.029914113072057564,,4.862077998973075,5.499172409375508,5.04522979259491,5.485846201578776
817,sports car,medium,17,875,0.018405302642629698,,5.025631113366766,5.502405166625977,5.177238134237436,5.505262815035307
817,sports car,medium,18,925,0.01978261535987258,,5.152627018945557,5.503907958666484,5.28620183467865,5.512311498324077
817,sports car,medium,19,975,0.0412845671750032,,5.23653534742502,5.504245061140794,5.3536685430086575,5.514632114997277
779,school bus,medium,0,25,0.6012004476327163,,3.502222458084861,5.44283808194674,3.629352642939641,3.4839563919947696
779,school bus,medium,1,75,0.575915609796842,,3.5521462854175336,5.410490711530049,3.6908677419026694,3.6613671580950418
779,school bus,medium,2,125,0.5407613103206341,,3.602391541986675,5.395989638108474,3.759946658061101,3.748994387113131
779,school bus,medium,3,175,0.4987384428580602,,3.652807171855654,5.387880404790242,3.8240705132484436,3.8205058574676514
779,school bus,medium,4,225,0.45505587412760806,,3.703040551353287,5.385230321150559,3.8869239733769345,3.8848868149977465
779,school bus,medium,5,275,0.41098497807979584,,3.7568042175400826,5.385491649309794,3.9552960793177285,3.94656511147817
779,school bus,medium,6,325,0.36816384012882525,,3.8061027520305504,5.388940407679631,4.017245274323684,4.00683252628033
779,school bus,medium,7,375,0.32006150235732395,,3.856136163785344,5.394912759462993,4.073751012484233,4.0704071919123335
779,school bus,medium,8,425,0.2776042108352368,,3.917896780338916,5.4027509322533245,4.141506525186392,4.143045498774602
779,school bus,medium,9,475,0.24241100996732712,,3.97745280641885,5.410760958989461,4.209737499554952,4.223748207092285
779,school bus,medium,10,525,0.19630990301569304,,4.04985844876085,5.420495907465617,4.293711503346761,4.3391081889470415
779,school bus,medium,11,575,0.1514938725874974,,4.141015748728763,5.43333493746244,4.401659855475793,4.524228316086989
779,school bus,medium,12,625,0.11434866736332576,,4.25086961012511,5.448606689771016,4.538839936256409,4.78472896416982
779,school bus,medium,13,675,0.07706010628205079,,4.386958295499886,5.4642510780921345,4.696457275977502,5.090593154613789
779,school bus,medium,14,725,0.05048874206840992,,4.536228943793547,5.478270967801412,4.836233735084534,5.320526997248332
779,school bus,medium,15,775,0.031408449778190024,,4.702625312647976,5.489043455857497,4.954477860377385,5.436909382159893
779,school bus,medium,16,825,0.01829248806461692,,4.886337246213641,5.495913624763489,5.075579245885213,5.486613194147746
779,school bus,medium,17,875,0.014773037427893052,,5.048679510970692,5.499243919665997,5.192740550407996,5.501772587115948
779,school bus,medium,18,925,0.02268231815348069,,5.169831711621511,5.500079115231832,5.288430412610372,5.508371472358704
779,school bus,medium,19,975,0.05393238508930573,,5.251376898734124,5.500197960780217,5.352729980762188,5.510491187755878
134,crane (bird),hard,0,25,0.5127102870207566,,3.6731233076079857,5.439318877000075,3.8597384232741137,3.618508082169753
134,crane (bird),hard,1,75,0.4843021233876546,,3.725750836588088,5.408304810523987,3.9250195821126304,3.7698296705881753
134,crane (bird),hard,2,125,0.44563772815924424,,3.7786793715351226,5.394730677971473,3.99336891907912,3.8475344547858605
134,crane (bird),hard,3,175,0.4045520946383476,,3.8266623314647448,5.388230045636495,4.049671053886414,3.908256014188131
134,crane (bird),hard,4,225,0.3643738558659187,,3.870536478338661,5.386713431431697,4.098765776707576,3.9609246253967285
134,crane (bird),hard,5,275,0.32409380624691647,,3.916118041745254,5.389335870742798,4.149805188179016,4.0146146814028425
134,crane (bird),hard,6,325,0.285309578363712,,3.96455055966482,5.394398285792424,4.207910941197322,4.072621052081768
134,crane (bird),hard,7,375,0.2498283882935842,,4.018092380393119,5.399079163869222,4.264951745669047,4.136839946111043
134,crane (bird),hard,8,425,0.21548138100367326,,4.07284046136416,5.406088865720308,4.32465413900522,4.2099199295043945
134,crane (bird),hard,9,475,0.1799599938094616,,4.143990857970148,5.414211630821228,4.4161689678827925,4.2960191170374555
134,crane (bird),hard,10,525,0.14987149834632874,,4.221709506142707,5.421920379002889,4.518500844637553,4.4047590891520185
134,crane (bird),hard,11,575,0.11452953517436981,,4.303031975423897,5.432573318481445,4.614093267000639,4.56457754281851
134,crane (bird),hard,12,625,0.08262923173606396,,4.4138708143007195,5.4451189041137695,4.7565708955128985,4.813030401865642
134,crane (bird),hard,13,675,0.06344984385829705,,4.527035432529973,5.459366725041316,4.8818104817317085,5.103846843426044
134,crane (bird),hard,14,725,0.04138163011521101,,4.656838571741468,5.4729350010554,5.0094475746154785,5.327381610870361
134,crane (bird),hard,15,775,0.023480029919972785,,4.815041394679101,5.483954246227558,5.1259475854726935,5.444957916553204
134,crane (bird),hard,16,825,0.015667408782367904,,4.984042165534837,5.49095356464386,5.222332159678142,5.491274515787761
134,crane (bird),hard,17,875,0.012541081613072982,,5.124763860152319,5.494264345902663,5.299876543191763,5.505001251514141
134,crane (bird),hard,18,925,0.019852288998663425,,5.222182512992904,5.495633641878764,5.360364039738973,5.507285277048747
134,crane (bird),hard,19,975,0.04462455714551302,,5.285386063240386,5.495717892279992,5.4032745361328125,5.508735766777625
517,crane (machine),hard,0,25,0.5321544867295486,,3.65282785139241,5.447435085590069,3.7989020897791934,3.6021491564237156
517,crane (machine),hard,1,75,0.512354165315628,,3.713299758732319,5.413802623748779,3.8764092723528543,3.7706695000330606
517,crane (machine),hard,2,125,0.483838656773934,,3.768336991359899,5.3959616881150465,3.9526187089773326,3.8539815682631273
517,crane (machine),hard,3,175,0.45003143697977066,,3.8222470414780436,5.386479496955872,4.0268847942352295,3.921665151913961
517,crane (machine),hard,4,225,0.414094477891922,,3.86905198765325,5.382707082308256,4.088576646951529,3.9820591669816237
517,crane (machine),hard,5,275,0.38028493026892346,,3.9141877815127373,5.383514126141866,4.146495183308919,4.034179608027141
517,crane (machine),hard,6,325,0.3463193476200104,,3.9595611147828156,5.38731941810021,4.203660744887132,4.081991048959585
517,crane (machine),hard,7,375,0.31116857131322223,,4.011210383403869,5.3926888306935625,4.264175375302632,4.13859220345815
517,crane (machine),hard,8,425,0.27654996514320374,,4.069538638486967,5.399509796729455,4.3342778866107645,4.204567138965313
517,crane (machine),hard,9,475,0.2483711875975132,,4.126643490578448,5.408465186754863,4.405327955881755,4.281479199727376
517,crane (machine),hard,10,525,0.21394415820638338,,4.199626103753135,5.4180000225702925,4.500389734903972,4.38634451230367
517,crane (machine),hard,11,575,0.1842577480352842,,4.2796721789208085,5.431177469400259,4.602333472325252,4.5427242792569675
517,crane (machine),hard,12,625,0.15239791572093964,,4.372188703999633,5.444574236869812,4.716993490854899,4.773179014523824
517,crane (machine),hard,13,675,0.10999359133151862,,4.485409331518215,5.458847559415377,4.839330966656025,5.066937629993145
517,crane (machine),hard,14,725,0.07867943681776524,,4.616494653125604,5.473196625709534,4.96002737681071,5.3063095808029175
517,crane (machine),hard,15,775,0.04993774684575888,,4.771634108417637,5.484784126281738,5.068215113419753,5.4366973730234
517,crane (machine),hard,16,825,0.029653158970177174,,4.94269652948493,5.49217164516449,5.172705332438151,5.49066162109375
517,crane (machine),hard,17,875,0.019978514371009972,,5.093410170995272,5.4962131426884575,5.265722788297213,5.508043435903696
517,crane (machine),hard,18,925,0.02461594824368755,,5.2005424712385455,5.49760643641154,5.335951606432597,5.513473471005757
517,crane (machine),hard,19,975,0.04735798044846608,,5.271599405414455,5.4978461632361775,5.382686064793513,5.515893606039194
762,restaurant,hard,0,25,0.5985701542634231,,3.488212569074317,5.4583814694331245,3.551040245936467,3.4555778686816874
762,restaurant,hard,1,75,0.5689271241426468,,3.535902047795909,5.428787112236023,3.6120580633481345,3.6263395150502524
